Pipeline,FromActivity,FromSequence,FromParent,ToActivity,ToSequence,ToParent,Conditions,SequenceFlow,SameContainer,FromExecutionStage,ToExecutionStage
pl_GetShipEdge_Catalog,Year,3,,ForEachFile,6,,Succeeded,3→6,Yes,0,2
pl_GetShipEdge_Catalog,Time,2,,ForEachFile,6,,Succeeded,2→6,Yes,0,2
pl_GetShipEdge_Catalog,GetAuthToken,1,,ForEachFile,6,,Succeeded,1→6,Yes,1,2
pl_GetShipEdge_Catalog,Web_GetFileLUD,7,ForEachFile,Set LUD,8,ForEachFile,Succeeded,7→8,Yes,0,1
pl_GetShipEdge_Catalog,Lookup_Old_LUD,10,ForEachFile,Set OLD_LUD,9,ForEachFile,Succeeded,10→9,Yes,0,1
pl_GetShipEdge_Catalog,Set LUD,8,ForEachFile,If File Updated,11,ForEachFile,Succeeded,8→11,Yes,1,2
pl_GetShipEdge_Catalog,Set OLD_LUD,9,ForEachFile,If File Updated,11,ForEachFile,Succeeded,9→11,Yes,1,2
pl_GetShipEdge_Catalog,CD_Files,12,If File Updated→TRUE,CD_Archive,13,If File Updated→TRUE,Succeeded,12→13,Yes,0,1
pl_GetShipEdge_Catalog,df_Catalog,15,If File Updated→TRUE,CD_Update_WaterMark,14,If File Updated→TRUE,Succeeded,15→14,Yes,2,3
pl_GetShipEdge_Catalog,CD_Archive,13,If File Updated→TRUE,df_Catalog,15,If File Updated→TRUE,Succeeded,13→15,Yes,1,2
PL_PURITAN_SHIPEDGE_ORDERS,Script Truncate table,4,,Data flow Ship Edge Orders Processing,1,,Succeeded,4→1,Yes,1,2
PL_PURITAN_SHIPEDGE_ORDERS,Data flow Ship Edge Orders Processing,1,,Data flow Ship Edge Orders Pending,2,,Succeeded,1→2,Yes,2,3
PL_PURITAN_SHIPEDGE_ORDERS,Data flow Ship Edge Orders Pending,2,,Data flow Ship Edge Orders Backorder,3,,Succeeded,2→3,Yes,3,4
PL_PURITAN_SHIPEDGE_ORDERS,Execute Pipeline Ship Edge to ADLS,5,,Script Truncate table,4,,Succeeded,5→4,Yes,0,1
PL_PURITAN_SHIPEDGE_ORDERS,Data flow Ship Edge Orders Backorder,3,,Data flow Ship Edge Orders Network Backorder,6,,Succeeded,3→6,Yes,4,5
PL_PURITAN_SHIPEDGE_ORDERS_RECON,Script Delete table,4,,Data flow Ship Edge Orders Processing,1,,Succeeded,4→1,Yes,2,3
PL_PURITAN_SHIPEDGE_ORDERS_RECON,Data flow Ship Edge Orders Processing,1,,Script Delete table and Insert,2,,Succeeded,1→2,Yes,3,4
PL_PURITAN_SHIPEDGE_ORDERS_RECON,GetClientSecret,5,,CD_SHIPEDGE_REST_TO_ADLS,3,,Succeeded,5→3,Yes,0,1
PL_PURITAN_SHIPEDGE_ORDERS_RECON,GetKeySecret,6,,CD_SHIPEDGE_REST_TO_ADLS,3,,Succeeded,6→3,Yes,0,1
PL_PURITAN_SHIPEDGE_ORDERS_RECON,CD_SHIPEDGE_REST_TO_ADLS,3,,Script Delete table,4,,Succeeded,3→4,Yes,1,2
pl_3PL_EKBE,Set FileName,9,,CD_3PL_INBOUND_EKBE,1,,Succeeded,9→1,Yes,4,5
pl_3PL_EKBE,Set CurrentTimeStamp,2,,Set Container,3,,Succeeded,2→3,Yes,0,1
pl_3PL_EKBE,Set Container,3,,Set Path,4,,Succeeded,3→4,Yes,1,2
pl_3PL_EKBE,Set Path,4,,Set ArchiveContainer,5,,Succeeded,4→5,Yes,2,3
pl_3PL_EKBE,CD_3PL_INBOUND_EKBE,1,,CD_Archive_3PL_INBOUND_EKBE,6,,Succeeded,1→6,Yes,5,6
pl_3PL_EKBE,Get_Last_Update,7,,Set_Last_Update,8,,Succeeded,7→8,Yes,0,1
pl_3PL_EKBE,Set_Last_Update,8,,Set FileName,9,,Succeeded,8→9,Yes,1,4
pl_3PL_EKBE,Set ArchiveContainer,5,,Set FileName,9,,Succeeded,5→9,Yes,3,4
pl_3PL_EKBE,CD_Archive_3PL_INBOUND_EKBE,6,,DF_3PL_INBOUND_EKBE,10,,Succeeded,6→10,Yes,6,7
pl_NHSC_V_BR_BillOfMaterial,CD_V_BR_BillOfMaterial,1,,CD_V_BR_BillOfMaterial_Synapse,2,,Succeeded,1→2,Yes,0,1
pl_NHSC_V_BR_BillOfMaterial,CD_V_BR_BillOfMaterial,1,,CD_V_BR_BillOfMaterial_Archive,3,,Succeeded,1→3,Yes,0,1
pl_NHSC_V_OOS_DATA_1,CD_V_OOS_DATA_1,1,,CD_V_OOS_DATA_1_Synapse,2,,Succeeded,1→2,Yes,0,1
pl_NHSC_V_OOS_DATA_1,CD_V_OOS_DATA_1,1,,CD_V_OOS_DATA_1_Archive,3,,Succeeded,1→3,Yes,0,1
pl_NHSC_V_OOS_DATA,CD_V_OOS_DATA,1,,CD_V_OOS_DATA_Synapse,2,,Succeeded,1→2,Yes,0,1
pl_NHSC_V_OOS_DATA,CD_V_OOS_DATA,1,,CD_V_OOS_DATA_Archive,3,,Succeeded,1→3,Yes,0,1
pl_SHPHDR,Set FileName,9,,CD_SHPHDR,1,,Succeeded,9→1,Yes,4,5
pl_SHPHDR,Set CurrentTimeStamp,2,,Set Container,3,,Succeeded,2→3,Yes,0,1
pl_SHPHDR,Set Container,3,,Set Path,4,,Succeeded,3→4,Yes,1,2
pl_SHPHDR,Set Path,4,,Set ArchiveContainer,5,,Succeeded,4→5,Yes,2,3
pl_SHPHDR,CD_SHPHDR,1,,CD_Archive_SHPHRD,6,,Succeeded,1→6,Yes,5,6
pl_SHPHDR,Get_Last_Update,7,,Set_Last_Update,8,,Succeeded,7→8,Yes,0,1
pl_SHPHDR,Set_Last_Update,8,,Set FileName,9,,Succeeded,8→9,Yes,1,4
pl_SHPHDR,Set ArchiveContainer,5,,Set FileName,9,,Succeeded,5→9,Yes,3,4
pl_SHPHDR,CD_Archive_SHPHRD,6,,df_SHPHDR,10,,Succeeded,6→10,Yes,6,7
pl_SHPITM,Set FileName,9,,CD_SHPITM,1,,Succeeded,9→1,Yes,4,5
pl_SHPITM,Set CurrentTimeStamp,2,,Set Container,3,,Succeeded,2→3,Yes,0,1
pl_SHPITM,Set Container,3,,Set Path,4,,Succeeded,3→4,Yes,1,2
pl_SHPITM,Set Path,4,,Set ArchiveContainer,5,,Succeeded,4→5,Yes,2,3
pl_SHPITM,CD_SHPITM,1,,CD_Archive_SHPITM,6,,Succeeded,1→6,Yes,5,6
pl_SHPITM,Get_Last_Update,7,,Set_Last_Update,8,,Succeeded,7→8,Yes,0,1
pl_SHPITM,Set_Last_Update,8,,Set FileName,9,,Succeeded,8→9,Yes,1,4
pl_SHPITM,Set ArchiveContainer,5,,Set FileName,9,,Succeeded,5→9,Yes,3,4
pl_SHPITM,CD_Archive_SHPITM,6,,df_SHPITM,10,,Succeeded,6→10,Yes,6,7
pl_GetVendorMaster_CompCodes,DeleteFile,13,,CD_TempTable,1,,Succeeded,13→1,Yes,7,8
pl_GetVendorMaster_CompCodes,Set CurrentTimeStamp,2,,Set Container,3,,Succeeded,2→3,Yes,0,1
pl_GetVendorMaster_CompCodes,Set Container,3,,Set Path,4,,Succeeded,3→4,Yes,1,2
pl_GetVendorMaster_CompCodes,Set Path,4,,Set ArchiveContainer,5,,Succeeded,4→5,Yes,2,3
pl_GetVendorMaster_CompCodes,CD_TempTable,1,,CD_Archive_SF_VendorMaster,6,,Succeeded,1→6,Yes,8,9
pl_GetVendorMaster_CompCodes,Get_Last_Update,7,,Set_Last_Update,8,,Succeeded,7→8,Yes,0,1
pl_GetVendorMaster_CompCodes,Set_Last_Update,8,,Set FileName,9,,Succeeded,8→9,Yes,1,4
pl_GetVendorMaster_CompCodes,Set ArchiveContainer,5,,Set FileName,9,,Succeeded,5→9,Yes,3,4
pl_GetVendorMaster_CompCodes,CD_Archive_SF_VendorMaster,6,,DF_SF_VendorMaster,10,,Succeeded,6→10,Yes,9,10
pl_GetVendorMaster_CompCodes,Set FileName,9,,cd_Get_SF_VendorMaster,11,,Succeeded,9→11,Yes,4,5
pl_GetVendorMaster_CompCodes,cd_Get_SF_VendorMaster,11,,cd_Get_SF_VendorMaster_Synapse,12,,Succeeded,11→12,Yes,5,6
pl_GetVendorMaster_CompCodes,cd_Get_SF_VendorMaster_Synapse,12,,DeleteFile,13,,Succeeded,12→13,Yes,6,7
pl_NHSC_Planned_Orders,CD_Get_Planned_Orders,1,,CD_Planned_Orders_Synapse,2,,Succeeded,1→2,Yes,0,1
OST_MasterPipeline,pl_CustomerPassThroughData,1,,pl_EventMessageHeader,3,,Succeeded,1→3,Yes,0,1
OST_MasterPipeline,pl_EnhancedChangeLogForTOR,2,,pl_FreightOrderTracking,4,,Succeeded,2→4,Yes,0,1
OST_MasterPipeline,pl_EventMessageHeader,3,,pl_MessageStatus,5,,Succeeded,3→5,Yes,1,2
OST_MasterPipeline,pl_FreightOrderTracking,4,,pl_SalesDocumentPartner,6,,Succeeded,4→6,Yes,1,2
OST_MasterPipeline,pl_MessageStatus,5,,pl_TransportationLoadHeader,7,,Succeeded,5→7,Yes,2,3
OST_MasterPipeline,pl_SalesDocumentPartner,6,,pl_TransportationOrderRootNode,8,,Succeeded,6→8,Yes,2,3
PL_DEMAND_PLANNING_LAG_DATA,Execute Pipeline Snowflake to ADLS,1,,Execute Pipeline ADLS to Azure Synapse,2,,Succeeded,1→2,Yes,0,1
PL_DEMAND_PLANNING_LAG_DATA,Execute Pipeline ADLS to Azure Synapse,2,,Script Delete table and Insert,3,,Succeeded,2→3,Yes,1,2
PL_Load_SFDC_Profile,Set ArchiveFolder,8,,OLD_WATERMARK,1,,Succeeded,8→1,Yes,1,2
PL_Load_SFDC_Profile,Set ArchiveFileName,7,,OLD_WATERMARK,1,,Succeeded,7→1,Yes,1,2
PL_Load_SFDC_Profile,Set FileName,6,,OLD_WATERMARK,1,,Succeeded,6→1,Yes,1,2
PL_Load_SFDC_Profile,Set StagingQuery,12,,CD_IncrementalRecords,2,,Succeeded,12→2,Yes,3,4
PL_Load_SFDC_Profile,Set SourceQuery,11,,CD_IncrementalRecords,2,,Succeeded,11→2,Yes,3,4
PL_Load_SFDC_Profile,CD_IncrementalRecords,2,,ArchiveIncrLoad,3,,Succeeded,2→3,Yes,4,5
PL_Load_SFDC_Profile,ArchiveIncrLoad,3,,Delete File,4,,Succeeded,3→4,Yes,5,6
PL_Load_SFDC_Profile,CD_Synapse_staging,9,,Delete File,4,,Succeeded,9→4,Yes,5,6
PL_Load_SFDC_Profile,Set TableName,5,,Set FileName,6,,Succeeded,5→6,Yes,0,1
PL_Load_SFDC_Profile,Set TableName,5,,Set ArchiveFileName,7,,Succeeded,5→7,Yes,0,1
PL_Load_SFDC_Profile,Set TableName,5,,Set ArchiveFolder,8,,Succeeded,5→8,Yes,0,1
PL_Load_SFDC_Profile,CD_IncrementalRecords,2,,CD_Synapse_staging,9,,Succeeded,2→9,Yes,4,5
PL_Load_SFDC_Profile,CD_Synapse_staging,9,,CD_Synapse_ReportingTable,10,,Succeeded,9→10,Yes,5,6
PL_Load_SFDC_Profile,OLD_WATERMARK,1,,Set SourceQuery,11,,Succeeded,1→11,Yes,2,3
PL_Load_SFDC_Profile,OLD_WATERMARK,1,,Set StagingQuery,12,,Succeeded,1→12,Yes,2,3
PL_Load_SFDC_Allowance__c,Set ArchiveFolder,8,,OLD_WATERMARK,1,,Succeeded,8→1,Yes,1,2
PL_Load_SFDC_Allowance__c,Set ArchiveFileName,7,,OLD_WATERMARK,1,,Succeeded,7→1,Yes,1,2
PL_Load_SFDC_Allowance__c,Set FileName,6,,OLD_WATERMARK,1,,Succeeded,6→1,Yes,1,2
PL_Load_SFDC_Allowance__c,Set StagingQuery,12,,CD_IncrementalRecords,2,,Succeeded,12→2,Yes,3,4
PL_Load_SFDC_Allowance__c,Set SourceQuery,11,,CD_IncrementalRecords,2,,Succeeded,11→2,Yes,3,4
PL_Load_SFDC_Allowance__c,CD_IncrementalRecords,2,,ArchiveIncrLoad,3,,Succeeded,2→3,Yes,4,5
PL_Load_SFDC_Allowance__c,ArchiveIncrLoad,3,,Delete File,4,,Succeeded,3→4,Yes,5,6
PL_Load_SFDC_Allowance__c,CD_Synapse_staging,9,,Delete File,4,,Succeeded,9→4,Yes,5,6
PL_Load_SFDC_Allowance__c,Set TableName,5,,Set FileName,6,,Succeeded,5→6,Yes,0,1
PL_Load_SFDC_Allowance__c,Set TableName,5,,Set ArchiveFileName,7,,Succeeded,5→7,Yes,0,1
PL_Load_SFDC_Allowance__c,Set TableName,5,,Set ArchiveFolder,8,,Succeeded,5→8,Yes,0,1
PL_Load_SFDC_Allowance__c,CD_IncrementalRecords,2,,CD_Synapse_staging,9,,Succeeded,2→9,Yes,4,5
PL_Load_SFDC_Allowance__c,CD_Synapse_staging,9,,CD_Synapse_ReportingTable,10,,Succeeded,9→10,Yes,5,6
PL_Load_SFDC_Allowance__c,OLD_WATERMARK,1,,Set SourceQuery,11,,Succeeded,1→11,Yes,2,3
PL_Load_SFDC_Allowance__c,OLD_WATERMARK,1,,Set StagingQuery,12,,Succeeded,1→12,Yes,2,3
PL_Load_SFDC_Item__c,Set ArchiveFolder,8,,OLD_WATERMARK,1,,Succeeded,8→1,Yes,1,2
PL_Load_SFDC_Item__c,Set ArchiveFileName,7,,OLD_WATERMARK,1,,Succeeded,7→1,Yes,1,2
PL_Load_SFDC_Item__c,Set FileName,6,,OLD_WATERMARK,1,,Succeeded,6→1,Yes,1,2
PL_Load_SFDC_Item__c,Set StagingQuery,12,,CD_IncrementalRecords,2,,Succeeded,12→2,Yes,3,4
PL_Load_SFDC_Item__c,Set SourceQuery,11,,CD_IncrementalRecords,2,,Succeeded,11→2,Yes,3,4
PL_Load_SFDC_Item__c,CD_IncrementalRecords,2,,ArchiveIncrLoad,3,,Succeeded,2→3,Yes,4,5
PL_Load_SFDC_Item__c,ArchiveIncrLoad,3,,Delete File,4,,Succeeded,3→4,Yes,5,6
PL_Load_SFDC_Item__c,CD_Synapse_staging,9,,Delete File,4,,Succeeded,9→4,Yes,5,6
PL_Load_SFDC_Item__c,Set TableName,5,,Set FileName,6,,Succeeded,5→6,Yes,0,1
PL_Load_SFDC_Item__c,Set TableName,5,,Set ArchiveFileName,7,,Succeeded,5→7,Yes,0,1
PL_Load_SFDC_Item__c,Set TableName,5,,Set ArchiveFolder,8,,Succeeded,5→8,Yes,0,1
PL_Load_SFDC_Item__c,CD_IncrementalRecords,2,,CD_Synapse_staging,9,,Succeeded,2→9,Yes,4,5
PL_Load_SFDC_Item__c,CD_Synapse_staging,9,,CD_Synapse_ReportingTable,10,,Succeeded,9→10,Yes,5,6
PL_Load_SFDC_Item__c,OLD_WATERMARK,1,,Set SourceQuery,11,,Succeeded,1→11,Yes,2,3
PL_Load_SFDC_Item__c,OLD_WATERMARK,1,,Set StagingQuery,12,,Succeeded,1→12,Yes,2,3
PL_Load_SFDC_Address__c,Set ArchiveFolder,8,,OLD_WATERMARK,1,,Succeeded,8→1,Yes,1,2
PL_Load_SFDC_Address__c,Set ArchiveFileName,7,,OLD_WATERMARK,1,,Succeeded,7→1,Yes,1,2
PL_Load_SFDC_Address__c,Set FileName,6,,OLD_WATERMARK,1,,Succeeded,6→1,Yes,1,2
PL_Load_SFDC_Address__c,Set StagingQuery,12,,CD_IncrementalRecords,2,,Succeeded,12→2,Yes,3,4
PL_Load_SFDC_Address__c,Set SourceQuery,11,,CD_IncrementalRecords,2,,Succeeded,11→2,Yes,3,4
PL_Load_SFDC_Address__c,CD_IncrementalRecords,2,,ArchiveIncrLoad,3,,Succeeded,2→3,Yes,4,5
PL_Load_SFDC_Address__c,ArchiveIncrLoad,3,,Delete File,4,,Succeeded,3→4,Yes,5,6
PL_Load_SFDC_Address__c,CD_Synapse_staging,9,,Delete File,4,,Succeeded,9→4,Yes,5,6
PL_Load_SFDC_Address__c,Set TableName,5,,Set FileName,6,,Succeeded,5→6,Yes,0,1
PL_Load_SFDC_Address__c,Set TableName,5,,Set ArchiveFileName,7,,Succeeded,5→7,Yes,0,1
PL_Load_SFDC_Address__c,Set TableName,5,,Set ArchiveFolder,8,,Succeeded,5→8,Yes,0,1
PL_Load_SFDC_Address__c,CD_IncrementalRecords,2,,CD_Synapse_staging,9,,Succeeded,2→9,Yes,4,5
PL_Load_SFDC_Address__c,CD_Synapse_staging,9,,CD_Synapse_ReportingTable,10,,Succeeded,9→10,Yes,5,6
PL_Load_SFDC_Address__c,OLD_WATERMARK,1,,Set SourceQuery,11,,Succeeded,1→11,Yes,2,3
PL_Load_SFDC_Address__c,OLD_WATERMARK,1,,Set StagingQuery,12,,Succeeded,1→12,Yes,2,3
PL_Load_SFDC_Promotion_c,Set ArchiveFolder,8,,OLD_WATERMARK,1,,Succeeded,8→1,Yes,1,2
PL_Load_SFDC_Promotion_c,Set ArchiveFileName,7,,OLD_WATERMARK,1,,Succeeded,7→1,Yes,1,2
PL_Load_SFDC_Promotion_c,Set FileName,6,,OLD_WATERMARK,1,,Succeeded,6→1,Yes,1,2
PL_Load_SFDC_Promotion_c,Set StagingQuery,12,,CD_IncrementalRecords,2,,Succeeded,12→2,Yes,3,4
PL_Load_SFDC_Promotion_c,Set SourceQuery,11,,CD_IncrementalRecords,2,,Succeeded,11→2,Yes,3,4
PL_Load_SFDC_Promotion_c,CD_IncrementalRecords,2,,ArchiveIncrLoad,3,,Succeeded,2→3,Yes,4,5
PL_Load_SFDC_Promotion_c,ArchiveIncrLoad,3,,Delete File,4,,Succeeded,3→4,Yes,5,6
PL_Load_SFDC_Promotion_c,CD_Synapse_staging,9,,Delete File,4,,Succeeded,9→4,Yes,5,6
PL_Load_SFDC_Promotion_c,Set TableName,5,,Set FileName,6,,Succeeded,5→6,Yes,0,1
PL_Load_SFDC_Promotion_c,Set TableName,5,,Set ArchiveFileName,7,,Succeeded,5→7,Yes,0,1
PL_Load_SFDC_Promotion_c,Set TableName,5,,Set ArchiveFolder,8,,Succeeded,5→8,Yes,0,1
PL_Load_SFDC_Promotion_c,CD_IncrementalRecords,2,,CD_Synapse_staging,9,,Succeeded,2→9,Yes,4,5
PL_Load_SFDC_Promotion_c,CD_Synapse_staging,9,,CD_Synapse_ReportingTable,10,,Succeeded,9→10,Yes,5,6
PL_Load_SFDC_Promotion_c,OLD_WATERMARK,1,,Set SourceQuery,11,,Succeeded,1→11,Yes,2,3
PL_Load_SFDC_Promotion_c,OLD_WATERMARK,1,,Set StagingQuery,12,,Succeeded,1→12,Yes,2,3
PL_Load_SFDC_Direct_Mail_Result_c,Set FileName,7,,OLD_WATERMARK,1,,Succeeded,7→1,Yes,1,2
PL_Load_SFDC_Direct_Mail_Result_c,Set ArchiveFileName,8,,OLD_WATERMARK,1,,Succeeded,8→1,Yes,1,2
PL_Load_SFDC_Direct_Mail_Result_c,Set ArchiveFolder,9,,OLD_WATERMARK,1,,Succeeded,9→1,Yes,1,2
PL_Load_SFDC_Direct_Mail_Result_c,Set SourceQuery,10,,CD_IncrementalRecords,2,,Succeeded,10→2,Yes,3,4
PL_Load_SFDC_Direct_Mail_Result_c,CD_IncrementalRecords,2,,CD_Synapse,3,,Succeeded,2→3,Yes,4,5
PL_Load_SFDC_Direct_Mail_Result_c,CD_IncrementalRecords,2,,ArchiveIncrLoad,4,,Succeeded,2→4,Yes,4,5
PL_Load_SFDC_Direct_Mail_Result_c,CD_Synapse,3,,Delete File,5,,Succeeded,3→5,Yes,5,6
PL_Load_SFDC_Direct_Mail_Result_c,ArchiveIncrLoad,4,,Delete File,5,,Succeeded,4→5,Yes,5,6
PL_Load_SFDC_Direct_Mail_Result_c,Set TableName,6,,Set FileName,7,,Succeeded,6→7,Yes,0,1
PL_Load_SFDC_Direct_Mail_Result_c,Set TableName,6,,Set ArchiveFileName,8,,Succeeded,6→8,Yes,0,1
PL_Load_SFDC_Direct_Mail_Result_c,Set TableName,6,,Set ArchiveFolder,9,,Succeeded,6→9,Yes,0,1
PL_Load_SFDC_Direct_Mail_Result_c,OLD_WATERMARK,1,,Set SourceQuery,10,,Succeeded,1→10,Yes,2,3
PL_Load_SFDC_Case_History__c,Set ArchiveFolder,8,,OLD_WATERMARK,1,,Succeeded,8→1,Yes,1,2
PL_Load_SFDC_Case_History__c,Set ArchiveFileName,7,,OLD_WATERMARK,1,,Succeeded,7→1,Yes,1,2
PL_Load_SFDC_Case_History__c,Set FileName,6,,OLD_WATERMARK,1,,Succeeded,6→1,Yes,1,2
PL_Load_SFDC_Case_History__c,Set StagingQuery,12,,CD_IncrementalRecords,2,,Succeeded,12→2,Yes,3,4
PL_Load_SFDC_Case_History__c,Set SourceQuery,11,,CD_IncrementalRecords,2,,Succeeded,11→2,Yes,3,4
PL_Load_SFDC_Case_History__c,CD_IncrementalRecords,2,,ArchiveIncrLoad,3,,Succeeded,2→3,Yes,4,5
PL_Load_SFDC_Case_History__c,ArchiveIncrLoad,3,,Delete File,4,,Succeeded,3→4,Yes,5,6
PL_Load_SFDC_Case_History__c,CD_Synapse_staging,9,,Delete File,4,,Succeeded,9→4,Yes,5,6
PL_Load_SFDC_Case_History__c,Set TableName,5,,Set FileName,6,,Succeeded,5→6,Yes,0,1
PL_Load_SFDC_Case_History__c,Set TableName,5,,Set ArchiveFileName,7,,Succeeded,5→7,Yes,0,1
PL_Load_SFDC_Case_History__c,Set TableName,5,,Set ArchiveFolder,8,,Succeeded,5→8,Yes,0,1
PL_Load_SFDC_Case_History__c,CD_IncrementalRecords,2,,CD_Synapse_staging,9,,Succeeded,2→9,Yes,4,5
PL_Load_SFDC_Case_History__c,CD_Synapse_staging,9,,CD_Synapse_ReportingTable,10,,Succeeded,9→10,Yes,5,6
PL_Load_SFDC_Case_History__c,OLD_WATERMARK,1,,Set SourceQuery,11,,Succeeded,1→11,Yes,2,3
PL_Load_SFDC_Case_History__c,OLD_WATERMARK,1,,Set StagingQuery,12,,Succeeded,1→12,Yes,2,3
PL_Load_SFDC_Account,Set ArchiveFolder,8,,OLD_WATERMARK,1,,Succeeded,8→1,Yes,1,2
PL_Load_SFDC_Account,Set ArchiveFileName,7,,OLD_WATERMARK,1,,Succeeded,7→1,Yes,1,2
PL_Load_SFDC_Account,Set FileName,6,,OLD_WATERMARK,1,,Succeeded,6→1,Yes,1,2
PL_Load_SFDC_Account,Set StagingQuery,12,,CD_IncrementalRecords,2,,Succeeded,12→2,Yes,3,4
PL_Load_SFDC_Account,Set SourceQuery,11,,CD_IncrementalRecords,2,,Succeeded,11→2,Yes,3,4
PL_Load_SFDC_Account,CD_IncrementalRecords,2,,ArchiveIncrLoad,3,,Succeeded,2→3,Yes,4,5
PL_Load_SFDC_Account,ArchiveIncrLoad,3,,Delete File,4,,Succeeded,3→4,Yes,5,6
PL_Load_SFDC_Account,CD_Synapse_staging,9,,Delete File,4,,Succeeded,9→4,Yes,5,6
PL_Load_SFDC_Account,Set TableName,5,,Set FileName,6,,Succeeded,5→6,Yes,0,1
PL_Load_SFDC_Account,Set TableName,5,,Set ArchiveFileName,7,,Succeeded,5→7,Yes,0,1
PL_Load_SFDC_Account,Set TableName,5,,Set ArchiveFolder,8,,Succeeded,5→8,Yes,0,1
PL_Load_SFDC_Account,CD_IncrementalRecords,2,,CD_Synapse_staging,9,,Succeeded,2→9,Yes,4,5
PL_Load_SFDC_Account,CD_Synapse_staging,9,,CD_Synapse_ReportingTable,10,,Succeeded,9→10,Yes,5,6
PL_Load_SFDC_Account,OLD_WATERMARK,1,,Set SourceQuery,11,,Succeeded,1→11,Yes,2,3
PL_Load_SFDC_Account,OLD_WATERMARK,1,,Set StagingQuery,12,,Succeeded,1→12,Yes,2,3
PL_Load_SFDC_Contact,Set ArchiveFolder,8,,OLD_WATERMARK,1,,Succeeded,8→1,Yes,1,2
PL_Load_SFDC_Contact,Set ArchiveFileName,7,,OLD_WATERMARK,1,,Succeeded,7→1,Yes,1,2
PL_Load_SFDC_Contact,Set FileName,6,,OLD_WATERMARK,1,,Succeeded,6→1,Yes,1,2
PL_Load_SFDC_Contact,Set StagingQuery,12,,CD_IncrementalRecords,2,,Succeeded,12→2,Yes,3,4
PL_Load_SFDC_Contact,Set SourceQuery,11,,CD_IncrementalRecords,2,,Succeeded,11→2,Yes,3,4
PL_Load_SFDC_Contact,CD_IncrementalRecords,2,,ArchiveIncrLoad,3,,Succeeded,2→3,Yes,4,5
PL_Load_SFDC_Contact,ArchiveIncrLoad,3,,Delete File,4,,Succeeded,3→4,Yes,5,6
PL_Load_SFDC_Contact,CD_Synapse_staging,9,,Delete File,4,,Succeeded,9→4,Yes,5,6
PL_Load_SFDC_Contact,Set TableName,5,,Set FileName,6,,Succeeded,5→6,Yes,0,1
PL_Load_SFDC_Contact,Set TableName,5,,Set ArchiveFileName,7,,Succeeded,5→7,Yes,0,1
PL_Load_SFDC_Contact,Set TableName,5,,Set ArchiveFolder,8,,Succeeded,5→8,Yes,0,1
PL_Load_SFDC_Contact,CD_IncrementalRecords,2,,CD_Synapse_staging,9,,Succeeded,2→9,Yes,4,5
PL_Load_SFDC_Contact,CD_Synapse_staging,9,,CD_Synapse_ReportingTable,10,,Succeeded,9→10,Yes,5,6
PL_Load_SFDC_Contact,OLD_WATERMARK,1,,Set SourceQuery,11,,Succeeded,1→11,Yes,2,3
PL_Load_SFDC_Contact,OLD_WATERMARK,1,,Set StagingQuery,12,,Succeeded,1→12,Yes,2,3
PL_Load_SFDC_Orders,Set ArchiveFolder,8,,OLD_WATERMARK,1,,Succeeded,8→1,Yes,1,2
PL_Load_SFDC_Orders,Set ArchiveFileName,7,,OLD_WATERMARK,1,,Succeeded,7→1,Yes,1,2
PL_Load_SFDC_Orders,Set FileName,6,,OLD_WATERMARK,1,,Succeeded,6→1,Yes,1,2
PL_Load_SFDC_Orders,Set StagingQuery,12,,CD_IncrementalRecords,2,,Succeeded,12→2,Yes,3,4
PL_Load_SFDC_Orders,Set SourceQuery,11,,CD_IncrementalRecords,2,,Succeeded,11→2,Yes,3,4
PL_Load_SFDC_Orders,CD_IncrementalRecords,2,,ArchiveIncrLoad,3,,Succeeded,2→3,Yes,4,5
PL_Load_SFDC_Orders,ArchiveIncrLoad,3,,Delete File,4,,Succeeded,3→4,Yes,5,6
PL_Load_SFDC_Orders,CD_Synapse_staging,9,,Delete File,4,,Succeeded,9→4,Yes,5,6
PL_Load_SFDC_Orders,Set TableName,5,,Set FileName,6,,Succeeded,5→6,Yes,0,1
PL_Load_SFDC_Orders,Set TableName,5,,Set ArchiveFileName,7,,Succeeded,5→7,Yes,0,1
PL_Load_SFDC_Orders,Set TableName,5,,Set ArchiveFolder,8,,Succeeded,5→8,Yes,0,1
PL_Load_SFDC_Orders,CD_IncrementalRecords,2,,CD_Synapse_staging,9,,Succeeded,2→9,Yes,4,5
PL_Load_SFDC_Orders,CD_Synapse_staging,9,,CD_Synapse_ReportingTable,10,,Succeeded,9→10,Yes,5,6
PL_Load_SFDC_Orders,OLD_WATERMARK,1,,Set SourceQuery,11,,Succeeded,1→11,Yes,2,3
PL_Load_SFDC_Orders,OLD_WATERMARK,1,,Set StagingQuery,12,,Succeeded,1→12,Yes,2,3
PL_Load_SFDC_RecordType,Set ArchiveFolder,8,,OLD_WATERMARK,1,,Succeeded,8→1,Yes,1,2
PL_Load_SFDC_RecordType,Set ArchiveFileName,7,,OLD_WATERMARK,1,,Succeeded,7→1,Yes,1,2
PL_Load_SFDC_RecordType,Set FileName,6,,OLD_WATERMARK,1,,Succeeded,6→1,Yes,1,2
PL_Load_SFDC_RecordType,Set StagingQuery,12,,CD_IncrementalRecords,2,,Succeeded,12→2,Yes,3,4
PL_Load_SFDC_RecordType,Set SourceQuery,11,,CD_IncrementalRecords,2,,Succeeded,11→2,Yes,3,4
